Loan Amount,Loan-to-Value Ratio,Intro Rate Period,Property Value,Income,Debt-to-Income Ratio,Term 360,Conforming,Race,Ethnicity,Sex,Interest Rate
365000.0,0.7931,0.0,465000.0,92000.0,0.43,1.0,1.0,White,Hispanic,Male,0.045
65000.0,1.02511,0.0,65000.0,47000.0,0.37,1.0,1.0,White,Hispanic,Male,0.06625
135000.0,0.8,0.0,175000.0,40000.0,0.47,1.0,1.0,White,Non-Hispanic,Female,0.04875
245000.0,0.49559,0.0,495000.0,75000.0,0.33,1.0,1.0,White,Non-Hispanic,Male,0.03875
595000.0,0.78684,0.0,765000.0,254000.0,0.25,1.0,1.0,White,Non-Hispanic,Male,0.04375
115000.0,0.28955,0.0,375000.0,72000.0,0.42,1.0,1.0,Black,Non-Hispanic,Male,0.04625
175000.0,0.99,0.0,175000.0,38000.0,0.49,1.0,1.0,White,Hispanic,Male,0.04125
185000.0,1.0101,0.0,185000.0,45000.0,0.33,1.0,1.0,White,Non-Hispanic,Male,0.045
195000.0,0.965,0.0,195000.0,60000.0,0.55,1.0,1.0,White,Hispanic,Male,0.0525
225000.0,0.9994,0.0,235000.0,75000.0,0.49,1.0,1.0,Black,Non-Hispanic,Female,0.05625
205000.0,1.0,0.0,215000.0,40000.0,0.49,1.0,1.0,Asian,Non-Hispanic,Female,0.04875
335000.0,0.95,0.0,345000.0,130000.0,0.25,1.0,1.0,Black,Non-Hispanic,Female,0.0375
125000.0,0.95,0.0,135000.0,66000.0,0.33,1.0,1.0,White,Non-Hispanic,Female,0.0475
255000.0,0.6984699999999999,0.0,365000.0,87000.0,0.25,1.0,1.0,White,Non-Hispanic,Male,0.0399
185000.0,0.97,0.0,185000.0,60000.0,0.33,1.0,1.0,White,Non-Hispanic,Female,0.05125
245000.0,1.0,0.0,245000.0,50000.0,0.49,1.0,1.0,White,Non-Hispanic,Female,0.04625
215000.0,0.8,0.0,265000.0,83000.0,0.33,1.0,1.0,White,Hispanic,Female,0.0475
85000.0,0.8,0.0,105000.0,40000.0,0.25,1.0,1.0,White,Non-Hispanic,Male,0.05375
55000.0,0.65,0.0,85000.0,40000.0,0.25,1.0,1.0,White,Non-Hispanic,Male,0.0499
85000.0,0.965,0.0,85000.0,53000.0,0.46,1.0,1.0,White,Non-Hispanic,Female,0.0399
185000.0,1.0,0.0,185000.0,35000.0,0.55,1.0,1.0,Black,Non-Hispanic,Female,0.045
235000.0,0.965,0.0,245000.0,71000.0,0.44,1.0,1.0,White,Hispanic,Female,0.05
275000.0,0.965,0.0,275000.0,118000.0,0.47,1.0,1.0,White,Non-Hispanic,Male,0.045
265000.0,0.9818,0.0,265000.0,62000.0,0.55,1.0,1.0,White,Non-Hispanic,Male,0.04375
65000.0,0.8,0.0,85000.0,60000.0,0.25,1.0,1.0,White,Non-Hispanic,Male,0.0425
285000.0,0.95,0.0,295000.0,99000.0,0.42,1.0,1.0,White,Non-Hispanic,Male,0.045
135000.0,0.97,0.0,135000.0,47000.0,0.42,1.0,1.0,White,Non-Hispanic,Male,0.04625
415000.0,0.8,0.0,525000.0,210000.0,0.1,1.0,1.0,White,Non-Hispanic,Male,0.0412999999999999
255000.0,0.965,0.0,265000.0,57000.0,0.55,1.0,1.0,Black,Hispanic,Male,0.04375
255000.0,0.9981,0.0,255000.0,88000.0,0.38,1.0,1.0,White,Non-Hispanic,Female,0.0475
245000.0,0.8561,0.0,285000.0,56000.0,0.42,1.0,1.0,Asian,Non-Hispanic,Male,0.04625
125000.0,0.8,0.0,155000.0,64000.0,0.1,1.0,1.0,White,Non-Hispanic,Male,0.045
255000.0,0.95,0.0,275000.0,69000.0,0.47,1.0,1.0,White,Non-Hispanic,Female,0.04625
105000.0,0.9818,0.0,105000.0,31000.0,0.55,1.0,1.0,White,Non-Hispanic,Male,0.05625
185000.0,0.965,0.0,185000.0,51000.0,0.46,1.0,1.0,Black,Non-Hispanic,Female,0.04625
155000.0,0.34222,0.0,455000.0,62000.0,0.33,1.0,1.0,White,Hispanic,Male,0.04375
255000.0,0.8,0.0,315000.0,282000.0,0.49,1.0,1.0,White,Non-Hispanic,Female,0.04625
35000.0,0.96999,0.0,35000.0,34000.0,0.25,1.0,1.0,White,Non-Hispanic,Male,0.0525
265000.0,0.72925,0.0,365000.0,93000.0,0.33,1.0,1.0,White,Non-Hispanic,Male,0.04875
45000.0,0.2352,0.0,175000.0,60000.0,0.4,1.0,1.0,White,Non-Hispanic,Female,0.045
255000.0,1.0,0.0,245000.0,111000.0,0.41,1.0,1.0,White,Non-Hispanic,Male,0.045
75000.0,0.97,0.0,75000.0,53000.0,0.25,1.0,1.0,White,Non-Hispanic,Female,0.04625
175000.0,0.8,0.0,215000.0,85000.0,0.36,1.0,1.0,White,Non-Hispanic,Male,0.0425
65000.0,0.66667,0.0,95000.0,60000.0,0.45,1.0,1.0,White,Non-Hispanic,Male,0.04875
235000.0,0.965,0.0,245000.0,58000.0,0.48,1.0,1.0,White,Hispanic,Female,0.04625
125000.0,0.7159,0.0,175000.0,38000.0,0.33,1.0,1.0,Asian,Non-Hispanic,Male,0.0429
115000.0,0.9,0.0,125000.0,72000.0,0.33,1.0,1.0,White,Non-Hispanic,Female,0.05
215000.0,0.8,0.0,275000.0,62000.0,0.33,1.0,1.0,White,Non-Hispanic,Male,0.05625
365000.0,0.98189,0.0,375000.0,77000.0,0.55,1.0,1.0,White,Non-Hispanic,Male,0.045
835000.0,0.8,0.0,1045000.0,171000.0,0.42,1.0,0.0,Asian,Non-Hispanic,Female,0.04625
155000.0,1.0101,0.0,155000.0,44000.0,0.43,1.0,1.0,White,Non-Hispanic,Male,0.0525
105000.0,0.56,0.0,185000.0,50000.0,0.33,1.0,1.0,White,Non-Hispanic,Female,0.0463
185000.0,0.8,0.0,235000.0,47000.0,0.33,1.0,1.0,White,Non-Hispanic,Male,0.0525
245000.0,0.965,0.0,255000.0,56000.0,0.55,1.0,1.0,White,Hispanic,Male,0.0575
165000.0,0.965,0.0,175000.0,64000.0,0.55,1.0,1.0,White,Non-Hispanic,Female,0.0575
345000.0,1.0,0.0,345000.0,91000.0,0.39,1.0,1.0,White,Hispanic,Male,0.045
135000.0,0.8645,0.0,155000.0,73000.0,0.25,1.0,1.0,White,Non-Hispanic,Male,0.04375
165000.0,0.75,0.0,225000.0,35000.0,0.4,1.0,1.0,White,Hispanic,Male,0.0575
1085000.0,0.8,0.0,1355000.0,242000.0,0.42,1.0,0.0,White,Non-Hispanic,Male,0.0425
95000.0,0.965,0.0,95000.0,58000.0,0.55,1.0,1.0,White,Non-Hispanic,Male,0.05
225000.0,0.95,0.0,235000.0,64000.0,0.36,1.0,1.0,White,Non-Hispanic,Male,0.0475
325000.0,0.95,0.0,335000.0,128000.0,0.33,1.0,1.0,White,Non-Hispanic,Male,0.0475
145000.0,0.964,0.0,145000.0,49000.0,0.33,1.0,1.0,White,Non-Hispanic,Female,0.04125
175000.0,0.8,0.0,225000.0,35000.0,0.55,1.0,1.0,White,Non-Hispanic,Female,0.04625
205000.0,0.9,0.0,225000.0,42000.0,0.55,1.0,1.0,White,Hispanic,Male,0.045
155000.0,0.965,0.0,155000.0,115000.0,0.1,1.0,1.0,White,Non-Hispanic,Male,0.0475
355000.0,0.90821,0.0,395000.0,77000.0,0.38,1.0,1.0,White,Non-Hispanic,Female,0.045
565000.0,1.0,60.0,565000.0,296000.0,0.42,1.0,0.0,White,Non-Hispanic,Male,0.0475
745000.0,0.75,60.0,995000.0,450000.0,0.1,1.0,0.0,White,Non-Hispanic,Male,0.04
155000.0,0.9677,0.0,155000.0,39000.0,0.48,1.0,1.0,Asian,Non-Hispanic,Male,0.0475
385000.0,1.0,0.0,385000.0,103000.0,0.42,1.0,1.0,Black,Non-Hispanic,Male,0.045
95000.0,0.88,0.0,105000.0,34000.0,0.41,1.0,1.0,White,Non-Hispanic,Female,0.05625
145000.0,0.45,0.0,335000.0,107000.0,0.1,1.0,1.0,White,Non-Hispanic,Female,0.0525
75000.0,0.95,0.0,75000.0,34000.0,0.42,1.0,1.0,White,Non-Hispanic,Female,0.05375
65000.0,0.97,0.0,65000.0,33000.0,0.46,1.0,1.0,White,Non-Hispanic,Female,0.045
185000.0,0.9157,0.0,205000.0,40000.0,0.45,1.0,1.0,White,Non-Hispanic,Male,0.0425
235000.0,0.8,0.0,295000.0,47000.0,0.43,1.0,1.0,Black,Non-Hispanic,Female,0.04875
275000.0,0.965,0.0,285000.0,62000.0,0.55,1.0,1.0,White,Non-Hispanic,Male,0.052
205000.0,0.95,0.0,225000.0,80000.0,0.36,1.0,1.0,White,Non-Hispanic,Female,0.04375
485000.0,0.9,84.0,545000.0,139000.0,0.42,1.0,0.0,Asian,Non-Hispanic,Male,0.0425
85000.0,0.8,120.0,105000.0,58000.0,0.1,1.0,1.0,White,Non-Hispanic,Male,0.0425
375000.0,0.8,0.0,465000.0,66000.0,0.48,1.0,1.0,White,Non-Hispanic,Male,0.04875
205000.0,0.9437,0.0,235000.0,53000.0,0.47,1.0,1.0,White,Hispanic,Male,0.04
425000.0,0.8,0.0,535000.0,172000.0,0.38,1.0,1.0,White,Non-Hispanic,Female,0.04625
135000.0,0.8,0.0,165000.0,43000.0,0.25,1.0,1.0,White,Non-Hispanic,Male,0.045
195000.0,1.0,0.0,195000.0,49000.0,0.33,1.0,1.0,White,Non-Hispanic,Male,0.0475
235000.0,1.0,0.0,235000.0,55000.0,0.47,1.0,1.0,Black,Non-Hispanic,Male,0.04
85000.0,1.0,0.0,85000.0,39000.0,0.33,1.0,1.0,White,Non-Hispanic,Male,0.055
195000.0,1.0101,0.0,195000.0,74000.0,0.33,1.0,1.0,White,Non-Hispanic,Female,0.04375
165000.0,0.6920000000000001,0.0,235000.0,50000.0,0.33,1.0,1.0,White,Non-Hispanic,Male,0.04375
265000.0,0.66667,0.0,395000.0,165000.0,0.25,1.0,1.0,White,Non-Hispanic,Male,0.0425
95000.0,0.97,0.0,105000.0,30000.0,0.49,1.0,1.0,White,Non-Hispanic,Female,0.04625
155000.0,0.7271500000000001,0.0,215000.0,80000.0,0.1,1.0,1.0,White,Non-Hispanic,Male,0.055
175000.0,0.9685,0.0,175000.0,71000.0,0.44,1.0,1.0,White,Non-Hispanic,Male,0.0575
585000.0,0.8,0.0,735000.0,281000.0,0.33,1.0,1.0,White,Non-Hispanic,Male,0.04875
215000.0,0.9,0.0,245000.0,116000.0,0.33,1.0,1.0,White,Non-Hispanic,Female,0.04875
105000.0,0.965,0.0,115000.0,51000.0,0.33,1.0,1.0,White,Non-Hispanic,Female,0.045
235000.0,0.95,0.0,255000.0,47000.0,0.47,1.0,1.0,White,Non-Hispanic,Male,0.04625
125000.0,0.8,0.0,165000.0,48000.0,0.45,1.0,1.0,White,Non-Hispanic,Female,0.04125
225000.0,0.8,0.0,285000.0,278000.0,0.1,0.0,1.0,Native american,Non-Hispanic,Male,0.03875
615000.0,0.75,0.0,825000.0,261000.0,0.41,1.0,1.0,White,Non-Hispanic,Male,0.0475
295000.0,1.0,0.0,295000.0,69000.0,0.55,1.0,1.0,White,Non-Hispanic,Female,0.05
125000.0,0.97,0.0,135000.0,30000.0,0.4,1.0,1.0,White,Non-Hispanic,Female,0.0575
185000.0,0.965,0.0,185000.0,52000.0,0.44,1.0,1.0,Asian,Non-Hispanic,Male,0.05
145000.0,0.97,0.0,155000.0,45000.0,0.33,1.0,1.0,White,Hispanic,Male,0.0525
215000.0,1.0,0.0,215000.0,47000.0,0.55,1.0,1.0,White,Non-Hispanic,Male,0.0525
245000.0,0.9,0.0,265000.0,84000.0,0.25,1.0,1.0,Asian,Non-Hispanic,Male,0.0425
215000.0,0.97,0.0,225000.0,38000.0,0.49,1.0,1.0,White,Non-Hispanic,Female,0.04875
145000.0,0.75,0.0,205000.0,52000.0,0.25,1.0,1.0,White,Non-Hispanic,Female,0.04125
195000.0,0.9818,0.0,205000.0,120000.0,0.1,1.0,1.0,White,Hispanic,Male,0.0425
145000.0,0.97,0.0,145000.0,47000.0,0.43,1.0,1.0,White,Non-Hispanic,Male,0.05375
145000.0,0.965,0.0,155000.0,64000.0,0.46,1.0,1.0,White,Non-Hispanic,Female,0.0425
285000.0,0.95,0.0,295000.0,62000.0,0.55,1.0,1.0,White,Hispanic,Male,0.045
145000.0,0.95,0.0,145000.0,103000.0,0.25,1.0,1.0,Black,Non-Hispanic,Female,0.045
105000.0,0.95,0.0,115000.0,188000.0,0.1,1.0,1.0,White,Non-Hispanic,Male,0.04
405000.0,1.0,0.0,405000.0,71000.0,0.39,1.0,1.0,White,Non-Hispanic,Male,0.04125
185000.0,1.0,0.0,185000.0,89000.0,0.25,1.0,1.0,White,Non-Hispanic,Male,0.045
165000.0,0.95,0.0,175000.0,71000.0,0.33,1.0,1.0,Asian,Non-Hispanic,Female,0.05
85000.0,0.9818,0.0,85000.0,41000.0,0.25,1.0,1.0,White,Non-Hispanic,Female,0.0375
65000.0,1.0102,0.0,65000.0,34000.0,0.44,1.0,1.0,Black,Non-Hispanic,Male,0.0499
