Mortgage,Balance,Amount Past Due,Delinquency,Inquiry,Open Trade,Utilization,Gender,Race,Status
215923.52,738.24,0,0,0,0,0.883743965,0,1,0
156029.08,1107.44,0,0,0,0,0.582942982,1,0,1
292956.19,514.62,241.7,4,0,0,0.414104893,0,1,0
265976.71,892.25,718.23,4,1,0,0.846812662,1,1,0
364557.12,2059.4,625.48,1,0,0,0.335211826,1,1,1
252914.51,534.68,0,0,0,0,0.585257934,0,1,0
262871.62,443,284.09,1,1,0,0.181567099,0,1,1
127319.68,870.27,177.69,4,2,2,0.582538679,0,0,0
213947.46,101.39,9,1,0,0,0.046405131,1,1,1
295991.99,806.38,0,0,0,0,0.747519691,0,1,1
189166.38,62.32,0,0,0,0,0.069387246,0,1,0
166496.26,2726.76,184.19,1,1,1,0.983649026,0,1,0
280039.19,378.9,0,0,0,0,0.176399377,1,1,1
390215.96,2949.76,133.39,4,1,1,0.683800004,1,1,0
298663.53,1089.38,0,0,0,0,0.431748184,1,1,1
742902.54,120.34,0,0,0,0,0.202989493,0,1,1
175535.72,98.36,0,0,0,0,0.070873028,0,0,0
152873.39,367.21,339.23,5,1,0,0.241367247,0,0,0
187979.33,777.68,0,0,0,0,0.717971283,0,0,1
118170.18,2310.37,1992.21,3,1,1,0.630490702,1,0,0
316529.41,185.37,0,0,0,0,0.159224653,0,1,1
138628.75,933.52,0,0,0,0,0.314959496,1,0,0
156400.89,629.93,334.14,1,0,0,0.454970827,0,0,1
573484.51,384.07,148.68,5,1,0,0.093548593,1,1,1
231041.47,355.33,0,0,0,0,0.406304374,0,1,1
204647.84,141.82,0,0,0,0,0.143540401,0,1,0
448103.7,477.67,0,0,0,0,0.201111413,1,1,1
232137.16,923.34,614.92,2,0,0,0.933421987,0,1,1
150722.48,1257.32,0,0,0,0,0.975740476,0,0,0
193885.55,524.93,287.63,5,2,0,0.261807935,0,1,1
415849.02,7807.13,0,0,1,1,0.92350518,1,1,1
245968.18,317.82,0,0,1,0,0.4742376,0,1,0
328907.01,295.32,87.07,1,0,0,0.331451344,0,1,1
163488.1,349.38,0,0,0,0,0.319564622,1,1,0
312151.41,512.81,0,0,0,0,0.365250281,0,1,1
282415.7,916.4,0,0,0,0,0.369734059,1,1,1
534435.72,604.5,375.59,1,1,1,0.337677291,0,1,1
209061.67,2367.7,2339.99,1,0,0,0.739054583,1,1,0
151306.14,820.61,0,0,0,0,0.179289943,1,0,0
293712.16,469.1,240.33,2,1,0,0.750063097,0,1,0
143928.13,2050.93,353.38,3,1,1,0.978742103,0,0,0
208801.54,3787.25,2265.64,1,1,0,0.948198353,1,0,1
363888.44,834.31,0,0,0,0,0.271658069,1,1,1
196078.55,1214.28,717.49,5,1,1,0.47389277,0,0,0
384357.19,227.64,5.78,1,1,1,0.280112858,0,1,0
159961.75,1095.61,0,0,0,0,0.741552867,0,1,0
388122.91,1499.82,599.61,2,1,0,0.32055759,1,1,1
187463.26,3484.84,2477.65,4,2,2,0.594767479,1,1,0
288765.04,1216.88,16.26,4,2,0,0.96577461,0,1,0
181799.39,425.65,0,0,0,0,0.256080557,1,1,1
188844.64,2117.1,938.37,2,0,0,0.466526401,1,0,0
162017.86,392.47,0,0,0,0,0.294397187,0,0,1
314462.91,1805.26,0,0,0,0,0.473775874,1,1,1
223363.89,168.41,0,0,0,0,0.117709462,1,1,1
129190.95,1273.99,0,0,0,0,0.291209678,1,0,0
290295.34,536.8,292.23,5,3,1,0.411708035,0,1,0
285984.85,3511.71,0,0,0,0,0.765535022,1,1,1
183715.31,2155.23,453.64,5,0,0,0.728461592,1,1,1
164316.93,1406.54,0,0,0,0,0.691996369,1,0,0
180987.6,1399.47,358.93,4,1,1,0.246821412,1,0,0
160557.64,505.3,124.78,4,1,1,0.29065365,1,0,0
282827.61,1528.72,0,0,0,0,0.503505049,1,1,1
250009.75,606.41,109.61,4,1,1,0.425151687,0,1,0
254053.66,1243.54,0,0,0,0,0.866080006,0,1,1
260405.36,591.69,108.96,1,1,1,0.593900855,0,1,0
127478.46,3304.37,2975.46,3,1,1,0.974066615,1,0,0
482022.55,189.73,23.23,1,0,0,0.164983951,0,1,0
148017.82,435.32,0,0,0,0,0.341799514,0,0,1
301837.56,1124.39,0,0,0,0,0.712450685,1,1,1
360409.1,354.37,0,0,0,0,0.095060828,1,1,1
453504.05,394.86,171.26,1,0,0,0.450398706,0,1,0
259120.91,563.94,0,0,0,0,0.147932886,1,1,1
268927.1,399.88,8.59,1,1,1,0.551572692,0,1,0
355207.48,142.19,0,0,0,0,0.058997298,1,1,1
421427.55,84.77,0,0,1,0,0.083870983,0,1,1
150418.04,150.79,64.14,1,1,0,0.121835436,0,0,1
358113.84,4256.76,0,0,0,0,0.948968364,1,1,1
237354.05,753.03,713.27,1,1,0,0.198435828,1,1,0
303242.74,666.12,457.55,4,2,1,0.482134955,1,1,0
705347.47,1036.09,1033.64,2,1,1,0.765485414,0,1,1
176128.47,430.05,309.85,5,2,0,0.373213573,0,0,0
330132.51,2876.72,2874.09,4,1,1,0.950451736,1,1,0
472674.87,1053.1,202.57,1,0,0,0.372985226,1,1,1
436962.59,1606.49,570.22,5,2,1,0.594585892,0,1,0
248280.14,864.25,0,0,0,0,0.727877971,0,1,0
373669.59,1397.33,1218.58,2,0,0,0.309106286,1,1,1
293134.32,944.08,607.92,5,1,1,0.550107507,0,1,0
121591.36,3493.57,3160.19,1,0,0,0.312403568,1,0,0
269978.63,491.57,490.38,5,3,1,0.109475292,0,1,0
147466.31,1070.42,815.52,5,2,2,0.608326773,0,0,0
187648.45,372.84,286.88,1,0,0,0.346254196,0,1,1
263561.87,1074.8,503.97,3,0,0,0.938380278,0,1,0
230940.12,835.55,305.35,3,0,0,0.885224579,0,1,0
158324.12,6749.2,0,0,0,0,0.951063509,1,0,0
283266.78,847.2,231.64,1,0,0,0.472650711,1,1,0
362891.94,1218.24,0,0,0,0,0.660491469,1,1,0
194962.78,1142.66,0,0,0,0,0.829014061,0,0,1
377630.26,1731.58,1258.09,3,0,0,0.241906909,1,1,0
155516.35,2719.47,0,0,0,0,0.679331272,1,1,1
132212.18,533.28,498,4,3,1,0.253551144,0,1,0
312873.25,1039.76,0,0,0,0,0.656465059,1,1,0
322759.76,2338.09,0,0,1,1,0.65396548,1,1,1
347043.12,1895.84,36.12,1,0,0,0.801482182,0,1,0
155586.33,448.27,381.68,1,0,0,0.38900023,0,0,0
190200.46,2074.4,0,0,0,0,0.849589237,1,0,1
273209.4,3829.03,3354.96,2,1,0,0.956535531,1,1,1
177619.71,1047.78,0,0,0,0,0.858609278,0,1,0
156970.96,2550.38,0,0,0,0,0.696311668,1,0,1
261801.7,743.56,0,0,0,0,0.318687585,0,1,1
168066.62,378.99,0,0,0,0,0.192807969,1,1,0
212471.24,840.55,831.81,1,0,0,0.436837902,1,1,0
365916.99,132.47,79.79,4,0,0,0.048873287,1,1,1
205709.3,5411.87,0,0,0,0,0.996907736,1,1,1
282197.74,2294.11,0,0,0,0,0.639095355,1,1,0
260895.07,2332.67,1685.87,5,0,0,0.713174331,1,1,0
283589.46,507.98,137.32,5,1,0,0.35731058,0,1,0
306138.33,223.2,0,0,0,0,0.267527834,0,1,1
251254.5,1831.65,1210.04,1,0,0,0.560145704,1,1,0
303403.91,2375.81,0,0,0,0,0.845662944,0,1,1
340026.26,680.04,233.72,1,0,0,0.449026767,1,1,0
139454.2,4370.68,0,0,1,0,0.885233732,1,0,1
349043.1,1445.76,334.6,4,1,0,0.950607236,0,1,0
238033.49,882.35,10.73,3,2,1,0.247627801,1,1,0
331904.57,927.71,0,0,0,0,0.285883218,0,1,1
258249.25,2410.21,0,0,0,0,0.696172971,1,1,0
120070.18,526.98,0,0,0,0,0.586055701,0,0,0
236924.97,51.44,0,0,1,1,0.057460742,0,1,0
402885.81,521.57,0,0,0,0,0.617395328,0,1,1
159397.26,511.2,0,0,0,0,0.288874285,1,0,1
216720.79,485.85,0,0,1,1,0.813947175,0,1,1
243333.81,67.45,0,0,0,0,0.027431127,0,1,1
229158.94,1296.53,0,0,0,0,0.452652571,1,1,1
227791.75,2043.61,0,0,0,0,0.769651613,1,0,1
143962.72,290.81,0,0,0,0,0.252838627,0,0,0
138997.58,2185.74,1448.13,5,3,2,0.823637834,1,0,0
206714.76,471.74,115.77,1,0,0,0.297364968,0,1,0
149607.97,1976.39,738.04,5,1,0,0.619517128,1,0,0
141454.83,636.33,189.94,1,1,0,0.38183156,0,0,0
232083.22,990.37,331.3,1,0,0,0.482733617,0,1,0
378342.12,469.64,0,0,0,0,0.683155833,0,1,1
233178.79,94.88,0,0,0,0,0.206267183,0,1,0
210505.16,374.98,0,0,0,0,0.475368363,0,0,1
137443.43,304.92,214.32,3,1,1,0.279034782,0,0,0
134224.88,2163.91,2073.99,4,2,1,0.960403085,1,0,1
262357.84,1438.62,54.48,5,0,0,0.491403089,1,1,0
190696.82,2567.58,0,0,0,0,0.721698649,1,1,0
187614.51,357.05,182.36,1,0,0,0.269669451,0,0,0
284147,8111.23,0,0,0,0,0.748773344,1,1,1
159947.42,4034.82,0,0,0,0,0.921817958,1,1,1
239889.83,586.73,0,0,0,0,0.417811461,0,0,1
273808.49,204.46,0,0,0,0,0.36129177,0,1,1
385802.17,2321.33,0,0,0,0,0.95806661,1,1,1
159062.41,10781.92,0,0,0,0,0.949264087,1,1,0
244546.01,860.79,0,0,0,0,0.390444504,0,1,1
165218.19,2658,0,0,0,0,0.898299417,1,0,0
176139.19,531.59,280.08,5,1,0,0.386253662,0,1,0
185295.49,932.2,0,0,0,0,0.935602531,0,0,0
324665.35,2352.59,0,0,0,0,0.466266942,1,1,1
156389.76,398.41,258.77,5,2,0,0.075571324,1,0,0
182348.42,1413.51,0,0,1,1,0.573440909,0,0,1
128432.08,284.54,0,0,0,0,0.103890885,1,0,1
368363.63,661.91,0,0,0,0,0.407314504,0,1,1
162562.8,305.68,85.72,2,0,0,0.139693307,0,0,0
282764.27,557.48,354.34,1,1,1,0.166997999,1,1,1
210707.85,2422.67,0,0,0,0,0.461126807,1,1,1
276026.56,235.04,0,0,0,0,0.139393006,1,1,1
198812.12,3014.89,0,0,0,0,0.741096854,1,1,0
257108.56,114.98,0,0,0,0,0.111575086,0,1,1
281005.58,4503.86,0,0,0,0,0.760683858,1,1,0
282355.84,559.33,0,0,0,0,0.21392215,1,1,1
298477.75,1164.11,0,0,0,0,0.981821978,0,1,1
328993.13,1492.97,506.3,2,1,1,0.538189597,0,1,1
308694.63,982.11,673.57,1,0,0,0.631485639,1,1,1
228130.4,2690.33,0,0,0,0,0.710662717,1,1,0
297052.05,1852.48,0,0,0,0,0.374661322,1,1,1
117369.67,1593.87,0,0,0,0,0.502446786,1,0,0
133197.54,717.11,0,0,0,0,0.767673811,0,0,0
336496.63,817.12,532.38,3,0,0,0.230404243,1,1,1
360020.99,1127.89,773.47,2,1,1,0.723748934,0,1,0
193431.02,298.81,0,0,0,0,0.200346516,0,1,1
173586.5,175.29,0,0,0,0,0.30269834,0,0,0
223413.8,458.51,190.66,1,0,0,0.302695592,0,1,1
150657.87,36.06,0,0,0,0,0.04067117,0,0,1
251772.61,1104.77,541.13,2,1,0,0.195713093,1,1,1
309068.97,5045.99,1613.45,1,0,0,0.764744957,1,1,0
449228.12,192.1,26.4,3,0,0,0.077139332,0,1,1
156049.73,570.51,0,0,0,0,0.434499845,0,0,1
206613.53,341.9,0,0,0,0,0.249010185,0,1,0
178965.59,50.4,29.79,3,0,0,0.133247127,0,0,0
309248,361.99,0,0,0,0,0.348532692,0,1,1
187860.62,443.11,172.97,1,0,0,0.773311804,0,1,0
138569.48,3171.15,0,0,0,0,0.93312931,1,0,1
130259.5,768.16,0,0,0,0,0.414193931,1,0,1
375101.93,826.46,488.73,3,0,0,0.904560767,0,1,0
144710.64,94.15,0,0,0,0,0.21456303,0,0,1
516979.08,288.61,23.15,4,2,0,0.149126346,0,1,1
154548.91,176.14,93.48,4,0,0,0.082283301,1,0,0
177567.96,576.99,0,0,0,0,0.290378232,1,1,1
207994.32,1413.67,841.05,5,2,2,0.747776636,1,1,0
298596.49,701.56,219.89,4,2,1,0.255557287,1,1,1
237562.7,957.42,434.73,1,0,0,0.204619354,1,1,0
454411.99,788.26,53.54,4,1,0,0.462313065,0,1,0
200764.27,695.01,0,0,1,0,0.501228753,0,1,1
262644.17,371.38,364.23,1,0,0,0.192631709,1,1,1
365567.94,432.05,0,0,0,0,0.679204623,0,1,0
273713.28,1873.59,0,0,0,0,0.829913835,1,1,0
271565.15,2212.36,1617.99,2,0,0,0.856558465,0,1,0
500073.87,693.24,446.58,5,1,1,0.457491063,0,1,0
143913.67,2743.02,2556.5,1,0,0,0.677885803,1,0,1
383205.36,1342.71,0,0,0,0,0.843204257,0,1,1
327384.17,3793.21,2238.9,1,1,0,0.858356427,1,1,0
214058.67,226.79,167.65,3,1,1,0.195615755,1,1,0
144254.55,2775.22,1432.86,1,0,0,0.848665507,1,0,0
239558.31,212.9,163.65,4,2,0,0.151522757,0,1,0
252243.73,665.57,341.13,1,0,0,0.545737421,0,1,0
260244.73,553.37,357.91,1,0,0,0.929933188,0,1,1
383244.26,118.82,0,0,1,0,0.149423274,0,1,1
151770.14,509.15,0,0,0,0,0.654725424,0,0,1
221534.49,374.99,197.54,2,0,0,0.318275467,1,1,1
151951.56,554.59,0,0,0,0,0.054641912,1,0,0
224911.15,2324.59,1549.26,5,0,0,0.545593412,1,1,0
227357.58,797.2,0,0,0,0,0.99518568,0,1,1
448915.63,380.07,0,0,0,0,0.115484732,1,1,1
239577.24,285.85,0,0,0,0,0.361749869,0,1,1
239445.24,2216.26,0,0,0,0,0.710075563,1,1,1
347935.97,6354.9,0,0,0,0,0.840179672,1,1,1
153852.48,154.56,0,0,0,0,0.214598864,0,0,0
330832.38,615.21,0,0,0,0,0.683792832,0,1,0
121710.22,2961.42,2296.26,1,0,0,0.595700175,1,0,0
225289.49,201.39,0,0,0,0,0.395353126,0,1,1
128950.47,361.44,0,0,0,0,0.604149942,0,0,0
193244.67,156.4,0,0,0,0,0.093488831,0,1,1
264676.4,1132.66,0,0,0,0,0.349744037,1,1,1
231463.04,1201.88,0,0,0,0,0.494413146,0,1,1
231100.79,651.67,0,0,0,0,0.341920249,1,1,1
134347.41,1019.24,200.68,1,1,0,0.934003141,0,0,0
244841.88,1070.38,0,0,0,0,0.600133015,1,1,1
341402.92,2319.06,2171.31,1,1,1,0.852632732,1,1,0
556476.93,240.86,162.96,4,2,0,0.345439412,0,1,0
284745.5,662.5,392.1,5,2,2,0.791709255,0,1,0
224738.6,980.26,0,0,0,0,0.639198992,0,1,1
212568.31,268.97,0,0,0,0,0.167168365,0,0,1
255674.74,3029.24,0,0,1,1,0.860956344,1,1,0
342778.94,790.8,0,0,0,0,0.590294268,1,1,1
271756.55,2087.03,0,0,0,0,0.597641002,0,1,1
154294.83,1302.04,0,0,0,0,0.721321145,0,0,1
275889.49,2519.69,0,0,0,0,0.729410392,1,1,0
187620.27,55.36,0,0,0,0,0.0478011,0,1,0
230898.6,119.8,95.88,1,0,0,0.072050754,0,1,1
284651.66,213.23,112.81,3,1,0,0.094890406,1,1,0
137994.31,3017.27,2608.43,5,2,1,0.927824404,1,1,0
278976.23,990.46,0,0,0,0,0.76258324,0,1,0
199255.41,650.36,0,0,0,0,0.45076689,0,1,0
261322.21,417.56,0,0,0,0,0.180808929,1,1,1
152996.99,101.09,0,0,1,1,0.166362661,0,0,0
171366.32,1738.38,0,0,0,0,0.831092763,1,1,0
210727.74,1957.97,1770.46,1,0,0,0.755072179,0,1,1
261764.53,526.46,486.16,4,5,2,0.19441216,1,0,0
271738.41,310.04,0,0,0,0,0.596965115,0,1,1
169492.27,10977.74,9525.44,5,2,1,0.908558426,1,0,0
170738.34,3406.11,2986.07,4,0,0,0.858686325,1,0,0
117334.41,2000.39,0,0,1,0,0.865443181,0,0,0
134771.95,7220.02,737.6,1,0,0,0.885921219,1,0,0
209152.82,1458.2,0,0,0,0,0.663570742,1,1,1
152051.99,2774.44,7.54,1,0,0,0.674495196,1,0,0
244138.41,821.43,0,0,0,0,0.544851085,1,1,1
138079.41,550.3,0,0,0,0,0.176386737,1,0,1
156154.28,2683.25,2332.11,4,1,1,0.828835709,1,0,0
158033.34,409.4,90.08,4,2,1,0.145295854,1,0,0
287658.02,175.88,114.08,4,1,1,0.243187976,0,1,0
212991.29,1568.49,0,0,0,0,0.838485657,1,1,1
341800.15,490.88,441.9,1,1,1,0.372697739,1,1,1
206555.62,575.92,0,0,0,0,0.852048375,0,1,1
266990.16,864.86,0,0,0,0,0.444559699,0,1,1
578116.11,1107.61,1026.06,4,1,0,0.307767616,1,1,1
172447.41,99.92,0,0,0,0,0.115213193,0,0,0
550639.5,512.59,301.59,5,2,1,0.45389677,0,1,0
360081.35,2159.99,0,0,0,0,0.647454427,1,1,1
237920.6,761.76,0,0,0,0,0.720762622,0,1,1
556030.01,525.81,0,0,0,0,0.395261102,1,1,1
134740.97,1444.39,542.29,4,2,2,0.374528458,1,0,0
319988.99,1412.73,107.14,1,0,0,0.979496476,0,1,0
154813.09,2340.08,0,0,0,0,0.577489406,1,0,1
222614.47,909.59,683.15,1,0,0,0.1299892,1,1,0
328906.68,2161.32,0,0,0,0,0.673799536,0,1,0
255085.66,426.67,0,0,0,0,0.334273041,0,1,1
312697,496.96,0,0,0,0,0.219389117,1,1,1
228649.86,873.44,0,0,0,0,0.187053402,1,0,0
181986.8,1429.76,697.64,1,1,0,0.381247156,1,0,0
389454.15,525.05,175.53,2,0,0,0.260326522,0,1,1
191226.62,199.36,0,0,0,0,0.142621063,0,1,1
298333.88,56.08,43.2,1,0,0,0.059970543,0,1,1
214683.92,634.46,0,0,1,0,0.988700595,0,1,0
228617.51,1833.06,1740.62,1,0,0,0.900160828,1,1,0
284722.18,1419.47,0,0,0,0,0.813609489,0,0,0
547366.24,2028.17,1788.06,3,1,1,0.793056686,1,1,0
155730,1714.49,0,0,0,0,0.889696379,1,1,0
222604.7,715.74,380.67,4,0,0,0.944179568,0,1,0
322057.6,603.05,91.55,3,0,0,0.195240116,1,1,1
261125.53,1187.72,0,0,1,0,0.608328332,1,1,1
199322.14,220.4,180.7,3,1,0,0.083541759,1,0,1
281811.57,386.34,0,0,1,1,0.197584838,0,1,1
290293.15,1127.58,916.05,5,1,0,0.645375105,0,1,0
370967.49,209.39,0,0,0,0,0.127918454,0,1,1
230826.86,206.39,0,0,0,0,0.124498007,0,1,1
144237.37,29.51,27.16,1,0,0,0.027640735,0,0,0
141539.69,1364.92,0,0,0,0,0.879941439,0,0,1
127995.26,290.81,72.73,3,1,1,0.065470195,1,0,0
290990.36,1394.45,0,0,0,0,0.768479337,0,1,0
165466.26,632.14,446.52,5,0,0,0.535379313,0,1,1
334584.65,212.01,60.73,1,1,1,0.17954946,0,1,1
242667.25,397.6,332.65,3,1,1,0.300259948,0,1,0
254805.57,1805.28,0,0,1,0,0.528922336,1,1,1
153600.08,5007.77,3220.11,1,0,0,0.949499216,1,0,0
138177.9,3203.22,647.48,1,0,0,0.568074187,1,0,0
388361.05,699.04,0,0,0,0,0.203125864,1,1,1
118635.94,1955.99,0,0,0,0,0.248113628,1,0,1
169180.97,540.72,0,0,0,0,0.249120514,1,0,1
288873.68,2401.97,708.9,5,1,1,0.70553561,1,1,0
332035.62,2479.95,0,0,0,0,0.608853494,1,1,1
370932.85,361.26,0,0,0,0,0.766109505,0,1,1
170686.37,1469.71,103.5,1,0,0,0.911714922,1,0,1
141644.54,814.06,0,0,0,0,0.654120753,1,0,0
140593.96,395.07,22.42,1,1,0,0.117627745,1,1,0
197325.24,545.85,0,0,0,0,0.538670594,1,1,0
249856.89,540.19,335,1,0,0,0.974418257,0,1,0
142698.42,632.9,0,0,0,0,0.131676223,1,0,0
297127.9,223.57,0,0,0,0,0.156595217,1,1,1
209318.13,4332.98,0,0,0,0,0.838843897,1,1,1
318492.45,1059.62,906.75,1,1,0,0.799122284,0,1,0
383689.97,2100.7,0,0,0,0,0.75789572,1,1,1
188337.28,781.2,609.93,4,0,0,0.551702626,0,1,0
307970,729.27,0,0,0,0,0.306259564,1,1,1
183997.94,29.39,9.45,2,1,1,0.070904993,0,1,0
173850.22,43.38,0,0,0,0,0.088103746,0,0,1
375947.9,600.33,0,0,0,0,0.449591498,0,1,1
192954.86,43.07,0,0,0,0,0.025816832,0,1,1
239828.17,2425.27,1206.76,1,1,0,0.93954492,1,1,0
133568.13,567.38,0,0,0,0,0.508157167,1,0,1
395565.64,2161.21,0,0,0,0,0.454447802,1,1,1
274970.64,200.78,87.72,1,1,0,0.193711633,0,1,0
266399.73,801.89,365.44,2,1,1,0.848029005,0,1,1
260768.12,3724.53,0,0,0,0,0.628299434,1,1,1
183879.06,973.85,636.71,1,0,0,0.446121568,1,0,0
118280.19,253.68,0,0,0,0,0.252843696,0,0,1
169936.98,798.6,630.88,1,1,1,0.488946585,0,1,0
321093.99,2109.33,3.71,4,2,1,0.98059804,1,1,0
348967.15,1219.36,0,0,0,0,0.779706036,1,1,0
181159.17,513.29,145.56,4,1,0,0.206299346,0,0,0
260730.2,282.33,0,0,1,0,0.314887528,0,1,1
207446.88,6340.88,0,0,0,0,0.965899123,1,1,0
244387.06,443.44,323.36,5,1,1,0.082975896,1,1,1
190690.29,202.8,172.61,1,0,0,0.283349011,0,0,0
175535.99,1087.31,0,0,0,0,0.427518809,1,1,0
320893.6,1976.04,1329.9,4,1,1,0.681367335,1,1,0
194427.93,160.56,0,0,0,0,0.260432349,0,1,1
210816.07,1040.05,0,0,1,1,0.684868968,1,1,0
232087.25,417.04,0,0,0,0,0.391648195,0,1,0
143088.56,851.39,0,0,0,0,0.515968726,0,0,0
237241.61,120.5,0,0,0,0,0.142422465,0,0,1
189086.6,1290.94,0,0,0,0,0.696421166,1,1,1
165512.66,368.66,278.59,1,1,0,0.300376265,0,0,1
266339.72,1027.98,0,0,0,0,0.544893776,1,1,1
183173.37,201.11,0,0,0,0,0.351891026,0,1,0
167996.26,3547.06,0,0,0,0,0.909049183,1,1,1
286742.17,2046.61,121.31,3,0,0,0.758572039,0,1,0
122597.47,369.76,59.1,1,0,0,0.644520626,0,0,0
208184.51,273.95,0,0,0,0,0.53203781,0,0,1
165226.13,2593.09,132.2,2,1,0,0.988534501,1,0,0
147161.26,676.62,0,0,1,0,0.144733208,1,0,0
261292.22,2911.2,0,0,0,0,0.181664742,1,1,1
141686.94,2922.8,0,0,0,0,0.838151165,1,0,0
321030.41,364.41,0,0,0,0,0.144880381,1,1,1
204315.18,147.53,0,0,0,0,0.120200129,0,1,0
192964.67,1544.84,840.23,1,0,0,0.819540054,0,0,0
264256.7,1132.12,390.95,1,1,0,0.861496114,0,1,1
219582.12,445.43,0,0,0,0,0.376115887,0,1,1
232439.79,991.7,0,0,0,0,0.264843328,1,1,1
232096.35,93.01,67.22,5,1,0,0.164402139,0,1,0
254215.98,1243.93,0,0,1,1,0.886953635,0,1,1
154965.53,604.4,152.04,5,0,0,0.622545231,0,0,0
330965.84,256.25,0,0,0,0,0.191075577,0,1,0
236926.11,1385.94,0,0,1,0,0.911002612,0,1,0
253435.2,2028.58,0,0,0,0,0.631165422,1,1,1
486411.64,466.69,407.91,4,0,0,0.424364949,0,1,0
245368.14,1234.73,216.25,1,1,0,0.503549343,1,1,0
428547.57,526.32,0,0,0,0,0.160986441,1,1,1
163224.15,1479.8,0,0,1,1,0.649630209,1,1,1
596959.91,1797.93,419.33,1,1,1,0.896541058,1,1,1
127714.19,332.97,0,0,1,1,0.111188046,1,0,0
345885.72,1334.15,0,0,0,0,0.899186802,0,1,0
209634.62,703.88,599.21,2,0,0,0.337026386,1,1,1
209836.91,356.66,187.91,5,6,1,0.524041635,0,1,0
201941.48,1066.88,0,0,0,0,0.198646998,1,0,1
303389.32,385.45,201.06,5,2,1,0.168461572,1,1,1
156423.73,1250.44,0,0,0,0,0.474163639,1,0,1
134255.19,1606.59,0,0,0,0,0.370630904,1,0,0
251886.89,2149.73,0,0,0,0,0.769153493,1,1,1
369618.73,130.42,0,0,0,0,0.166956632,0,1,1
477360.11,712.87,0,0,1,0,0.18250313,1,1,1
437328.4,587.01,0,0,0,0,0.533974921,0,1,1
151979.72,519.12,0,0,0,0,0.544852463,0,0,1
186179.18,1080.03,0,0,0,0,0.915473376,1,1,1
232981.98,26.87,0,0,0,0,0.060444465,0,1,0
161640.7,1103.55,0,0,0,0,0.416688359,1,1,1
148261.88,519.65,74.61,5,0,0,0.312168579,1,0,0
209234.64,3220.21,0,0,0,0,0.954141678,1,1,0
128342.71,415.49,176.5,1,0,0,0.582718891,0,0,0
328800.18,36.33,32.45,5,2,1,0.054287897,0,1,0
228448.47,363.74,21.78,1,0,0,0.204334986,1,1,1
149026.49,497.21,297.7,4,1,1,0.148587787,1,0,0
